"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"JinMaoShiWang 1500mg Tablet (金毛狮王片),Nil,Brown,Teardrop,Yes,Sildenafil,&quot;Ge Er Mu Fei Long&quot; health products Co Ltd.  Qinghai (青海格尔木飞龙保健品有限公司),Nil"
"HR Brand Jing Ba Su Bo Jiao Nang 1800mg (HR牌劲霸速勃胶囊),Capsule,White,Oblong,No,Sildenafil,China HongKong HuaRen ShengWu GongCheng Co. Ltd (中国香港华人生物工程有限公司),Hong Kong"
"Kangli Brand JinBa Men 2500mg (康力牌劲霸男人),Pill,Black;Gold,Oblong& Round,Yes,Lignocaine;Naproxen;Sildenafil,Yan Ji Kang Li Bao Jian Pin You Xian Gong Si (延吉康力保健品有限公司),Nil"
"Li Long Brand Jin Gang Shen Dan 2800mg Capsule (力龙牌金刚神丹),Capsule,Green,Oblong,Yes,Sildenafil,Xi Zang La Sa Shi Li Long Sheng Wu Zhi Pin Gong Si (西藏拉萨市力龙生物制品公司),China"
"Jiu Chong Tian Capsule (九重天),Capsule,Beige;Red,Oblong,No,Sildenafil,Nil,Nil"
"Buda Jin Qiang Bu Dao 800 mg Tablet (金枪不倒),Nil,Brown,Irregular,No,Sildenafil,La Sa Shi Li Da Bao Jian Pin You Xian Gong Si (拉萨市力达保健品有限公司),China"
"Kang Xi Da Di Long Yang Dan 1000mg Capsule (康熙大第龍陽丹),Capsule,Green,Oblong,Yes,Sildenafil,Qing Hai Jin Sheng Li Bao Jian Pin You Xian Gong Si (青海金聖力保健品有限公司),Nil"
"ZhengHao Brand King of Postponing Spray (延时王),Spray,Nil,Nil,No,Lignocaine;Sildenafil,Shi Jia Zhuang Zheng Tian Technology and Development  Graduate School (石家庄正天科技开发研究所),Nil"
"Lang Yi Hao 145mg Tablet (极品狼1号),Nil,Blue,Diamond,Yes,Metronidazole;Sildenafil,Hei Long Jiang Shen Jia Mu Si Shi Gao Xin Zhi Yao Zong Chang (黑龙江省佳木斯市高新制药总厂),China"
"Longer Vaigra 1500 mg Capsule (长效伟哥),Capsule,Blue;White,Oblong,No,Sibutramine;Sildenafil,Nil,Nil"
